id,type,address,number,postal_code,municipality,province,location,public,available,hours,lat,lon
16343.0,Appareil fixe-Vast apparaat,Krommebeekstraat,14.0,8930.0,MENEN,West-Vlaanderen,Straatkant wit gebouw,Oui-Ja,Oui-Ja,,50.8107651,3.1295925410926557
2683.0,Appareil fixe-Vast apparaat,Rue de Mons,3.0,4000.0,liege,Liège,"gelijkvloers, eerste gang links, midden van de gang aan nooduitgang",Oui-Ja,,,50.64196795,5.553329439456736
10372.0,Appareil fixe-Vast apparaat,Boulevard du Jardin Botanique,,1000.0,Bruxelles,Bruxelles-Brussel,Hall d accueil du 9ème étage de la Tour des Finances,Non-Nee,Oui-Ja,,50.8544289,4.3610631
16344.0,Appareil fixe-Vast apparaat,Boulevard du Jardin Botanique,,1000.0,Bruxelles,Bruxelles-Brussel,A l intérieur des bureau du SPF Intérieur au 8ème étage de la Tour des Finances,Non-Nee,Oui-Ja,,50.8544289,4.3610631
16345.0,Appareil fixe-Vast apparaat,Avenue Einstein ,12.0,1300.0,Wavre ,Brabant Wallon,Infirmerie ,Non-Nee,Non-Nee,,50.7308296,4.5875476
16346.0,Appareil fixe-Vast apparaat,Poldergotestraat,1.0,9240.0,ZELE,Oost-Vlaanderen,Gelijkvloers - tussen keuken en personeelsingang,Non-Nee,Oui-Ja,,51.084454050000005,4.041801019457353
16347.0,Appareil fixe-Vast apparaat,GELMELSTRAAT 96 HOOGSTRATEN,96.0,2320.0,HOOGSTRATEN,Antwerpen,KANTOOR BUITENZIJDE,Non-Nee,Oui-Ja,,,
16348.0,Appareil fixe-Vast apparaat,GELMELSTRAAT 96,96.0,2320.0,HOOGSTRATEN,Antwerpen,KANTOOR BUITENZIJDE,Non-Nee,Oui-Ja,,,
16349.0,Appareil fixe-Vast apparaat,Rue Chaumont,4.0,4480.0,Engis,Liège, ,Oui-Ja,Non-Nee,,50.561474399999994,5.3705764999999985
16350.0,Appareil fixe-Vast apparaat,PONT WEST,111.0,111.0,RONSE,Oost-Vlaanderen,EHBO LOKAAL - GELIJKVLOERS,Non-Nee,Oui-Ja,,,
16352.0,Appareil fixe-Vast apparaat,Route de la Plate Taille,51.0,6440.0,BOUSSU LEZ WALCOURT,Hainaut,Rez-de-Chaussée/ Réception/ Derrière la Vendin Machine,Oui-Ja,Oui-Ja,,50.1898258,4.3593621
16353.0,Appareil fixe-Vast apparaat,Zeedijk,157.0,8370.0,Blankenberge,West-Vlaanderen,gelijkvloers kantoorruimte / binnen,Oui-Ja,Non-Nee,Ma-Di-Do-Vrij: 9u00 - 12u30 / 13u30 - 17u30 + Zat: 10u00 - 12u30 - 13u30 - 17u00,51.3168328,3.131884278761323
16354.0,Appareil fixe-Vast apparaat,MONNIKENHOFSTRAAT  ,,2040.0,ANTWERPEN,Antwerpen,"PONDEROSA VOETBALVELD 
Scheidsrechter kantine",Non-Nee,Non-Nee,,51.3446028,4.3164625
16355.0,Appareil fixe-Vast apparaat,Rue Jean Wautequin,5.0,1480.0,Tubize,Bruxelles-Brussel, ,Oui-Ja,Non-Nee,,,
16356.0,Appareil fixe-Vast apparaat,Rue Buisson-aux-Loups,7.0,1400.0,Nivelles,Brabant Wallon, ,Oui-Ja,Non-Nee,,50.5904282,4.353431344386928
16357.0,Appareil fixe-Vast apparaat,Kruisveldstraat,20.0,3670.0,OUDSBERGEN,Limburg,Buitengevel lokaal KSJ ROY,Oui-Ja,,,51.0926274,5.5872849274668015
16358.0,Appareil fixe-Vast apparaat,Zuiderring,11.0,3600.0,Genk,Limburg,"In de lobby, aan de linkerzijde op het gelijkvloers",Non-Nee,Non-Nee,van maandag tot vrijdag van 08u tot 17u,50.9493474,5.4877344
16359.0,Appareil fixe-Vast apparaat,Industriepark-West,62.0,9100.0,Sint-Niklaas,Oost-Vlaanderen,Gelijkvloers lokaal plotter-printer,Non-Nee,Non-Nee,08:00h - 16:30h,51.142747650000004,4.156113297516392
15939.0,Appareil fixe-Vast apparaat,Rue des Spinettes,16.0,4140.0,Sprimont,Liège,EWP Infirmerie,Oui-Ja,Oui-Ja,,50.5129326,5.6854743
15940.0,Appareil fixe-Vast apparaat,Rue des Spinettes,,4140.0,Sprimont,Liège,EWP P10 - Infirmerie,Oui-Ja,Oui-Ja,,50.5129326,5.6854743
