id,type,address,number,postal_code,municipality,province,location,public,available,hours,lat,lon,full_address
12536.0,Appareil fixe-Vast apparaat,rue des Roseaux,1.0,7331.0,Baudour,Hainaut,Hall d accueil,Oui-Ja,Non-Nee,,50.6734127,4.375574222211661,"rue des Roseaux 1 ,7331 ,Baudour"
12537.0,Appareil fixe-Vast apparaat,Kempische Steenweg,293.0,3500.0,Hasselt,Limburg,Rez-de-chaussée : entrée du site,Non-Nee,Non-Nee,,50.953010750000004,5.349994952083808,"Kempische Steenweg 293 ,3500 ,Hasselt"
12538.0,Appareil fixe-Vast apparaat,Place de Bourgogne,1.0,7730.0,Estaimbourg,Hainaut,Chalet du Parc ,Oui-Ja,Non-Nee,,50.683826,3.3177072,"Place de Bourgogne 1 ,7730 ,Estaimbourg"
12540.0,Appareil fixe-Vast apparaat,De Lusthoven,14.0,2370.0,Arendonk,Antwerpen,Naast de inkom deur van de hal.,Oui-Ja,Non-Nee,openingsuren van TC De Lusthoven,51.331203849999994,5.0768381013922355,"De Lusthoven 14 ,2370 ,Arendonk"
12541.0,Appareil fixe-Vast apparaat,Schotelven ,6.0,2370.0,Arendonk,Antwerpen,Aanhangwagencentrale,Oui-Ja,Non-Nee,openingsuren Aanhangwagencentrale,51.31594025,5.0654734197708535,"Schotelven  6 ,2370 ,Arendonk"
12542.0,Appareil fixe-Vast apparaat,Skaldenstraat ,121.0,9042.0,Desteldonk,Oost-Vlaanderen,"THV Noordzee en Kust
Blok D2 - rechtse kantoor - gelijkvloers",Oui-Ja,Non-Nee,ma-vrij 08-17u,51.1136628,3.7892760772751117,"Skaldenstraat  121 ,9042 ,Desteldonk"
12543.0,Appareil fixe-Vast apparaat,rue de la Vieille Espérance ,24.0,4100.0,Seraing,Liège,Hall d entrée,Oui-Ja,Non-Nee,,50.6052097,5.503927980669914,"rue de la Vieille Espérance  24 ,4100 ,Seraing"
12546.0,Appareil fixe-Vast apparaat,avenue Gouverneur Bovesse,96.0,5100.0,Jambes,Namur,Accueil,Oui-Ja,Non-Nee,,50.4564592,4.8720084,"avenue Gouverneur Bovesse 96 ,5100 ,Jambes"
12554.0,Appareil fixe-Vast apparaat,Scheldelaan ,480.0,2040.0,Antwerpen,Antwerpen,Inkomhal gebouw C (loket kontrolekamer),Oui-Ja,Oui-Ja,,51.326604,4.299411695074948,"Scheldelaan  480 ,2040 ,Antwerpen"
12555.0,Appareil fixe-Vast apparaat,Scheldelaan ,480.0,2040.0,Antwerpen,Antwerpen,Inkomhal Gebouw W,Oui-Ja,Oui-Ja,,51.326604,4.299411695074948,"Scheldelaan  480 ,2040 ,Antwerpen"
12556.0,Appareil fixe-Vast apparaat,Scheldelaan ,480.0,2040.0,Antwerpen,Antwerpen,Inkomhal medische dienst,Oui-Ja,Oui-Ja,,51.326604,4.299411695074948,"Scheldelaan  480 ,2040 ,Antwerpen"
12557.0,Appareil fixe-Vast apparaat,Koninklijke Baan ,18.0,8660.0,De Panne,West-Vlaanderen,gelijkvloers gang na inkom,Oui-Ja,Oui-Ja,,51.095963850000004,2.5875048893855537,"Koninklijke Baan  18 ,8660 ,De Panne"
12559.0,Appareil fixe-Vast apparaat,Noordervest,52.0,3990.0,Peer,Limburg,binnen in de inkomhal,Oui-Ja,Non-Nee,tijdens openingsuren vaccinatiecentrum,51.1339069,5.456593868497109,"Noordervest 52 ,3990 ,Peer"
